image,smooth,smooth,textured,textured
noise_setting,erlang_2_10,erlang_2_5,erlang_2_10,erlang_2_5
filter,,,,
adaptive_local_noise_reduction_k3,13.987557715059147,8.753682675251213,13.76298780949397,8.276335476894973
adaptive_local_noise_reduction_k5,14.146603964951979,8.856559437432752,13.934120654978413,8.391486997311787
adaptive_median_Smax7,14.05733303914705,8.70575564334086,13.850010076808976,8.241446403639468
alpha_trimmed_k3_d2,14.600230937283605,8.95731889196659,14.37270992829867,8.591782842683102
alpha_trimmed_k3_d6,14.944015893689478,9.15797408395047,14.75920292908512,8.914128665429889
alpha_trimmed_k5_d2,14.44916946355651,8.940844950678725,14.161365178793076,8.533175438649586
alpha_trimmed_k5_d6,14.777097526427195,9.121912156973499,14.52930339967072,8.806985364692544
arithmetic_mean_k3,14.137901456940869,8.785526633791223,13.842847726669254,8.31701718862925
arithmetic_mean_k5,14.181288754443013,8.863842461984651,13.848916447188753,8.400444907102605
contraharmonic_k3_Q-1,16.356998883859497,11.126791378082835,16.62899005853391,11.257411360594672
contraharmonic_k3_Q1,11.999769969416434,6.8397536311897404,11.271848071465676,6.036670451207597
contraharmonic_k5_Q-1,16.716427263183526,11.587132232709777,16.968542303092534,11.840929676936927
contraharmonic_k5_Q1,11.831087871624437,6.751437157481755,11.08665409339654,5.937915722785654
geometric_mean_k3,15.271441003334518,9.931536896487792,15.270142222247895,9.736709100615057
geometric_mean_k5,15.457522857238743,10.150591319749964,15.401989442289242,9.984188628833147
harmonic_mean_k3,16.356998883859497,11.126791378082835,16.62899005853391,11.257411360594672
harmonic_mean_k5,16.716427263183526,11.587132232709777,16.968542303092534,11.840929676936927
max_k3,7.021557631947337,3.001127692852852,6.545005533491429,2.1598959150709316
max_k5,5.295209447481161,2.1958136331081386,4.701825339229779,1.231653563934208
median_k3,14.899643322995711,9.125617485336203,14.717242284483348,8.898281680494973
median_k5,15.14945330155783,9.379512379560236,14.92277612538864,9.23367029849835
midpoint_k3,12.379521422566953,7.9914279689620615,11.894115457101027,7.223968055726482
midpoint_k5,11.247878457438084,7.7912676602663815,10.574312894155646,6.836865486377631
min_k3,23.573560847876802,18.783208308178995,21.826142674488572,18.27914077314174
min_k5,21.94367332779308,21.490632567401875,20.991275344133832,20.49020064253721
